MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary
98145	Application	2017-12-14T02:35:05.1450587		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59880, Len: 12, Seq Range: 3526200329 - 3526200341	
98148	None	2017-12-14T02:35:05.1451707		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59880, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 371157176 - 371157177, Ack: 3526200341, Win: 64228	
98161	None	2017-12-14T02:35:05.1465724		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59880, Length: 0, Seq Range: 3526200341 - 3526200342, Ack: 371157177, Win: 260	
98163	None	2017-12-14T02:35:05.1466753		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59880, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 371157177 - 371157177, Ack: 3526200342, Win: 64228	
98328	None	2017-12-14T02:35:05.1753712		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59883, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3562152315 - 3562152316, Ack: 0, Win: 8192(negotiating scale factor: 8)	
98330	None	2017-12-14T02:35:05.1766399		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59883, Length: 0, Seq Range: 2620558344 - 2620558345, Ack: 3562152316, Win: 512	
98331	None	2017-12-14T02:35:05.1767218		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59883, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3562152316 - 3562152316, Ack: 2620558345, Win: 16445440(scale factor: 8)	
98332	None	2017-12-14T02:35:05.1767498	0,0018949	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59883, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 3562152316 - 3562152331	
99043	None	2017-12-14T02:35:05.4408577		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59883, Len: 12, Seq Range: 2620558345 - 2620558357	
99044	None	2017-12-14T02:35:05.4410313		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59883, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3562152331 - 3562152332, Ack: 2620558357, Win: 16442368(scale factor: 8)	
